Artist,Set_Name,Classifications,Date_Added,Keywords,Set_Num,Color,Franchise,Image,Cost,Inkable,Name,Type,Lore,Rarity,Flavor_Text,Unique_ID,Card_Num,Body_Text,Willpower,Date_Modified,Strength,Set_ID,Gamemode,Card_Variants,Move_Cost,StrengthPlusWillpower,keyword_NA,keyword_Support,keyword_Shift,keyword_Evasive,keyword_Challenger,keyword_Rush,keyword_Ward,keyword_Resist,keyword_Bodyguard,keyword_Singer,keyword_Reckless,Has_Keywords,Has_Bespoke,Basic_Cost,Keyword_Cost,Bespoke_Cost,is_meta,res
Gonzalo Kenny,Azurite Sea,Storyborn,2024-12-03T02:41:13,,6,Emerald,Lilo & Stitch,https://lorcana-api.com/images/mertle_edmonds/lilo's_rival/mertle_edmonds-lilo's_rival-large.png,1,FALSE,Mertle Edmonds - Lilo's Rival,Character,1,Uncommon,“Get out of my way before I run you over.”,AZS-082,82,NA,3,2024-12-03 04:11:08.0,1,AZS,NA,NA,NA,4,1,0,0,0,0,0,0,0,0,0,0,FALSE,0,1.4637407572623133,0,0,FALSE,-0.46374075726231345
Brittney Hackett,Azurite Sea,"Storyborn, Ally",2024-12-03T02:41:12,,6,Emerald,The Great Mouse Detective,https://lorcana-api.com/images/dawson/basil's_assistant/dawson-basil's_assistant-large.png,4,FALSE,Dawson - Basil's Assistant,Character,2,Common,"“By Jove, he must be around here somewhere.
Basil! Basil! Shout if—aaahhh!”",AZS-077,77,NA,4,2024-12-03 04:11:08.0,3,AZS,NA,NA,NA,7,1,0,0,0,0,0,0,0,0,0,0,FALSE,0,3.5173457598436952,0,0,FALSE,0.48265424015630476
Taraneh,Azurite Sea,"Storyborn, Ally",2024-12-03T02:41:12,,6,Emerald,Peter Pan,https://lorcana-api.com/images/tootles/lost_boy/tootles-lost_boy-large.png,1,FALSE,Tootles - Lost Boy,Character,1,Common,"Every Lost Boy has a favorite hiding spot. Tootles
has twelve.",AZS-076,76,NA,2,2024-12-03 04:11:08.0,2,AZS,NA,NA,NA,4,1,0,0,0,0,0,0,0,0,0,0,FALSE,0,1.4637407572623133,0,0,FALSE,-0.46374075726231345
Ron Baird,Azurite Sea,"Storyborn, Ally",2024-12-03T02:41:11,,6,Amethyst,Aladdin,https://lorcana-api.com/images/magic_carpet/amazing_flier/magic_carpet-amazing_flier-large.png,3,FALSE,Magic Carpet - Amazing Flier,Character,3,Uncommon,"“Carpet's always come through for us before! He
won't let us down now.”
—Jasmine",AZS-051,51,NA,3,2024-12-03 04:11:08.0,1,AZS,NA,NA,NA,4,1,0,0,0,0,0,0,0,0,0,0,FALSE,0,2.707876785153639,0,0,FALSE,0.29212321484636067
Carlos Luzzi,Azurite Sea,Storyborn,2024-12-03T02:41:11,,6,Amethyst,Alice In Wonderland,https://lorcana-api.com/images/the_walrus/greedy_gourmand/the_walrus-greedy_gourmand-large.png,4,FALSE,The Walrus - Greedy Gourmand,Character,1,Uncommon,"...While the Walrus finished off the lot, down to
the final bite.",AZS-046,46,NA,6,2024-12-03 04:11:08.0,3,AZS,NA,NA,NA,9,1,0,0,0,0,0,0,0,0,0,0,FALSE,0,3.8496357383218447,0,0,FALSE,0.1503642616781554
Giulia Riva,Azurite Sea,"Storyborn, Mentor, Sorcerer",2024-12-03T02:41:11,,6,Amethyst,The Lion King,https://lorcana-api.com/images/rafiki/shaman_of_the_savanna/rafiki-shaman_of_the_savanna-large.png,1,FALSE,Rafiki - Shaman of the Savanna,Character,1,Common,"“The signs, they never lie. The snake thinks he's
planned for everything...Oh, ho, ho! He forgot
about the owl. There's hope yet!”",AZS-042,42,NA,2,2024-12-03 04:11:08.0,2,AZS,NA,NA,NA,4,1,0,0,0,0,0,0,0,0,0,0,FALSE,0,1.4637407572623133,0,0,FALSE,-0.46374075726231345
Stefano Zanchi,Azurite Sea,"Storyborn, Ally",2024-12-03T02:41:11,,6,Amethyst,Aladdin,https://lorcana-api.com/images/genie/excited_shipbuilder/genie-excited_shipbuilder-large.png,3,FALSE,Genie - Excited Shipbuilder,Character,1,Common,"“For the indecisive sailor we have three, count 'em,
three ships in one! It sails, it flies, it juliennes fries!
All for the low price of just one wish.”",AZS-038,38,NA,3,2024-12-03 04:11:08.0,4,AZS,NA,NA,NA,7,1,0,0,0,0,0,0,0,0,0,0,FALSE,0,2.8952777458980323,0,0,FALSE,0.10472225410196787
Simone Buonfantino,Azurite Sea,"Storyborn, Ally",2024-12-03T02:41:10,,6,Amber,Chip 'n Dale: Rescue Rangers,https://lorcana-api.com/images/monterey_jack/good-hearted_ranger/monterey_jack-good-hearted_ranger-large.png,4,FALSE,Monterey Jack - Good-Hearted Ranger,Character,2,Rare,"“There's only one thing I like more than cheese—
nothin'.”",AZS-013,13,NA,7,2024-12-03 04:11:08.0,0,AZS,NA,NA,NA,7,1,0,0,0,0,0,0,0,0,0,0,FALSE,0,3.5173457598436952,0,0,FALSE,0.48265424015630476
Luca Pinelli,Azurite Sea,"Storyborn, Hero, Prince",2024-12-03T02:41:09,,6,Amber,The Princess And The Frog,https://lorcana-api.com/images/prince_naveen/carefree_explorer/prince_naveen-carefree_explorer-large.png,2,FALSE,Prince Naveen - Carefree Explorer,Character,1,Common,"“Dance little friends—fill the air with light and joy.
Achidanza! It is like seeing music come to life.”",AZS-010,10,NA,3,2024-12-03 04:11:08.0,2,AZS,NA,NA,NA,5,1,0,0,0,0,0,0,0,0,0,0,FALSE,0,1.9409197534742195,0,0,FALSE,0.05908024652578056
Marco Giorgianni,Azurite Sea,"Storyborn, Hero, Prince",2024-12-03T02:41:09,,6,Amber,The Lion King,https://lorcana-api.com/images/simba/happy-go-lucky/simba-happy-go-lucky-large.png,2,FALSE,Simba - Happy-Go-Lucky,Character,1,Common,"“Look at that water, and those birds! Wow. Wait 'til
Timon and Pumbaa see this!”",AZS-005,5,NA,4,2024-12-03 04:11:08.0,1,AZS,NA,NA,NA,5,1,0,0,0,0,0,0,0,0,0,0,FALSE,0,1.9409197534742224,0,0,FALSE,0.05908024652577756
Wouter Bruneel,Azurite Sea,"Storyborn, Ally, Pirate",2024-12-03T02:41:09,,6,Amber,Winnie the Pooh,https://lorcana-api.com/images/gopher/ship's_carpenter/gopher-ship's_carpenter-large.png,4,FALSE,Gopher - Ship's Carpenter,Character,2,Uncommon,"“I keep fixin’ this same ding-danged hole! I should
start charging overtime, plus 10 percent.”",AZS-004,4,NA,6,2024-12-03 04:11:08.0,1,AZS,NA,NA,NA,7,1,0,0,0,0,0,0,0,0,0,0,FALSE,0,3.517345759843692,0,0,FALSE,0.4826542401563079
Michela Cacciatore / Giulia Priori,Ursula's Return,"Storyborn, Ally",2024-05-17T12:00,"Challenger 2, ",4,Steel,Mulan,https://lorcana-api.com/images/yao/imperial_soldier/yao-imperial_soldier-large.png,4,TRUE,Yao - Imperial Soldier,Character,1,Common,"""I'm gonna hit you so hard, it'll make your ancestors dizzy.""",URS-194,194,"Challenger +2 (While challenging, this character gets +2{s})",5,2024-08-29 16:27:12.0,2,URS,Lorcana,,NA,7,0,0,0,0,2,0,0,0,0,0,0,TRUE,0,2.8952777458980323,0.630816061095652,0,FALSE,0.47390619300631565
Leonardo Giammichele,Ursula's Return,"Storyborn, Hero, Prince",2024-05-17T12:00,"Resist 1, Bodyguard, ",4,Steel,Hercules,https://lorcana-api.com/images/hercules/beloved_hero/hercules-beloved_hero-large.png,6,TRUE,Hercules - Beloved Hero,Character,2,Rare,NA,URS-180,180,"Bodyguard (This character may enter play exerted. An opposing character who challenges on of your characters must chose one with Bodyguard if able.)
Resist +1 (Damage dealt to this character is reduced by 1)",5,2024-08-29 16:27:12.0,6,URS,Lorcana,,NA,11,0,0,0,0,0,0,0,1,1,0,0,TRUE,0,5.426061744691321,0.9487486684935739,0,FALSE,-0.3748104131848947
Michela Cacciatore / Giulia Priori,Ursula's Return,"Storyborn, Ally",2024-05-17T12:00,"Bodyguard, ",4,Steel,Mulan,https://lorcana-api.com/images/chien/po-imperial_soldier/chien-po-imperial_soldier-large.png,5,TRUE,Chien-Po - Imperial Soldier,Character,1,Common,NA,URS-178,178,Bodyguard (This character may enter play exerted. An opposing character who challenges one of your characters must choose one with Bodyguard if able.),7,2024-08-29 16:27:12.0,4,URS,Lorcana,,NA,11,0,0,0,0,0,0,0,0,1,0,0,TRUE,0,4.803993730745657,0.3975273886758199,0,TRUE,-0.20152111942147694
Simangaliso Sibaya,Ursula's Return,"Storyborn, Hero, Prince",2024-05-17T12:00,"Resist 1, ",4,Steel,The Beauty and the Beast,https://lorcana-api.com/images/beast/thick-skinned/beast-thick-skinned-large.png,3,TRUE,Beast - Thick-Skinned,Character,1,Common,He's even tougher than he looks.,URS-176,176,Resist +1 (Damage dealt to this character is reduced by 1.),3,2024-08-29 16:27:12.0,2,URS,Lorcana,,NA,5,0,0,0,0,0,0,0,1,0,0,0,TRUE,0,1.9409197534742193,0.5512212798177539,0,FALSE,0.5078589667080268
Brian Kesinger,Ursula's Return,"Storyborn, Ally",2024-05-17T12:00,"Support, ",4,Sapphire,Frozen,https://lorcana-api.com/images/olaf/trusting_companion/olaf-trusting_companion-large.png,1,TRUE,Olaf - Trusting Companion,Character,1,Common,"""Isn't this Kristoff's hat? If he went this way, he'll be caught in that storm!""",URS-150,150,"Support (Whenever this character quests, you may add their {s} to another chosen character's {s} this turn.)",2,2024-08-29 16:27:12.0,1,URS,Lorcana,,NA,3,0,1,0,0,0,0,0,0,0,0,0,TRUE,0,0.9865617610504065,0.2376789480511109,0,FALSE,-0.2242407091015174
Koni,Ursula's Return,"Dreamborn, Hero, Princess",2024-05-17T12:00,"Ward, ",4,Sapphire,Sleeping Beauty,https://lorcana-api.com/images/aurora/tranquil_princess/aurora-tranquil_princess-large.png,2,TRUE,Aurora - Tranquil Princess,Character,1,Common,Her music fills the Illuminary's gardens with joy and light,URS-141,141,Ward (Opponents can't choose this character except to challenge.),3,2024-08-29 16:27:12.0,1,URS,Lorcana,,NA,4,0,0,0,0,0,0,1,0,0,0,0,TRUE,0,1.463740757262313,0.7160993312519719,0,FALSE,-0.17984008851428482
Kenneth Anderson,Ursula's Return,"Storyborn, Ally",2024-05-17T12:00,"Evasive, ",4,Ruby,Hercules,https://lorcana-api.com/images/pegasus/flying_steed/pegasus-flying_steed-large.png,2,TRUE,Pegasus - Flying Steed,Character,1,Common,"""He zigs, he zags - what else do ya need?""
-Phil",URS-120,120,Evasive (Only characters with Evasive can challenge this character.),1,2024-08-29 16:27:12.0,3,URS,Lorcana,,NA,4,0,0,0,1,0,0,0,0,0,0,0,TRUE,0,1.463740757262313,1.104039930622216,0,FALSE,-0.5677806878845288
Diogo Saito,Ursula's Return,"Dreamborn, Hero, Prince",2024-05-17T12:00,"Rush, Reckless, ",4,Ruby,Hercules,https://lorcana-api.com/images/hercules/daring_demigod/hercules-daring_demigod-large.png,5,FALSE,Hercules - Daring Demigod,Character,0,Uncommon,NA,URS-109,109,"Rush (This character can challenge the turn they're played.)
Reckless (This character can't quest and must challenge each turn if able.)",3,2024-08-29 16:27:12.0,7,URS,Lorcana,,NA,10,0,0,0,0,0,1,0,0,0,0,1,TRUE,0,3.704746720588088,1.0705451337438792,0,FALSE,0.22470814566803277
Antoine Couttolenc,Ursula's Return,"Storyborn, Hero, Prince",2024-05-17T12:00,"Rush, ",4,Ruby,Hercules,https://lorcana-api.com/images/hercules/clumsy_kid/hercules-clumsy_kid-large.png,3,FALSE,Hercules - Clumsy Kid,Character,1,Common,"""Nice catch, Jerkules.""
-Village boy",URS-108,108,"Rush (This character can challenge the turn they're played.)
",3,2024-08-29 16:27:12.0,3,URS,Lorcana,,NA,6,0,0,0,0,0,1,0,0,0,0,0,TRUE,0,2.4180987496861253,0.8407749819128572,0,FALSE,-0.2588737315989824
Brian Weisz,Ursula's Return,"Storyborn, Ally",2024-05-17T12:00,"Evasive, ",4,Emerald,Hercules,https://lorcana-api.com/images/pegasus/gift_for_hercules/pegasus-gift_for_hercules-large.png,1,TRUE,Pegasus - Gift for Hercules,Character,1,Common,"""His name is Pegasus. And he's all yours. . . .""
-Zeus",URS-084,84,Evasive (Only characters with Evasive can challenge this character.),1,2024-08-29 16:27:12.0,1,URS,Lorcana,,NA,2,0,0,0,1,0,0,0,0,0,0,0,TRUE,0,0.5093827648385002,1.104039930622216,0,TRUE,-0.6134226954607161
Adam Ford,Ursula's Return,"Dreamborn, Villain, Sorcerer",2024-05-17T12:00,"Challenger 2, ",4,Amethyst,The Little Mermaid,https://lorcana-api.com/images/ursula/mad_sea_witch/ursula-mad_sea_witch-large.png,2,TRUE,Ursula - Mad Sea Witch,Character,1,Uncommon,"""After her, Flotsam! I can't rule Lorcana without the Hexwell Crown!""",URS-057,57,"Challenger +2 (While challenging, this character gets +2{s}.)",3,2024-08-29 16:27:12.0,1,URS,Lorcana,,NA,4,0,0,0,0,2,0,0,0,0,0,0,TRUE,0,1.463740757262313,0.630816061095652,0,FALSE,-0.09455681835796494
Kenneth Anderson,Ursula's Return,"Storyborn, Ally",2024-05-17T12:00,"Evasive, ",4,Amethyst,Peter Pan,"https://lorcana-api.com/images/tick/tock,_ever-present_pursuer/tick-tock,_ever-present_pursuer-large.png",6,TRUE,Tick-Tock - Ever-Present Pursuer,Character,1,Common,"""That cursed beast liked the taste of me so well he's followed me ever since . . . .""
-Captain Hook",URS-056,56,Evasive (Only characters with Evasive can challenge this character.),7,2024-08-29 16:27:12.0,4,URS,Lorcana,,NA,11,0,0,0,1,0,0,0,0,0,0,0,TRUE,0,4.803993730745657,1.104039930622216,0,FALSE,0.0919663386321271
Juan Diego Leon,Ursula's Return,"Storyborn, Ally, Madrigal",2024-05-17T12:00,"Rush, ",4,Amethyst,Encanto,https://lorcana-api.com/images/luisa_madrigal/magically_strong_one/luisa_madrigal-magically_strong_one-large.png,4,FALSE,Luisa Madrigal - Magically Strong One,Character,1,Common,"""This rock? No problem. Go get that prophecy hermana!""",URS-047,47,Rush (This character can challenge the turn they're played.),3,2024-08-29 16:27:12.0,4,URS,Lorcana,,NA,7,0,0,0,0,0,1,0,0,0,0,0,TRUE,0,2.8952777458980323,0.8407749819128572,0,FALSE,0.26394727218911057
Angela Simpson,Ursula's Return,"Storyborn, Villain, Sorcerer",2024-05-17T12:00,"Singer4, ",4,Amber,The Little Mermaid,https://lorcana-api.com/images/ursula/vanessa/ursula-vanessa-large.png,2,TRUE,Ursula - Vanessa,Character,1,Common,This magic will certainly do the trick.,URS-025,25,Singer 4 (This character counts as cost 4 to sing songs.),4,2024-08-29 16:27:12.0,1,URS,Lorcana,,NA,5,0,0,0,0,0,0,0,0,0,2,0,TRUE,0,1.9409197534742193,0.4368121585935828,0,TRUE,-0.3777319120678021
Linh Dang,Ursula's Return,"Dreamborn, Hero, Prince",2024-05-17T12:00,"Bodyguard, ",4,Amber,The Little Mermaid,https://lorcana-api.com/images/prince_eric/seafaring_prince/prince_eric-seafaring_prince-large.png,3,TRUE,Prince Eric - Seafaring Prince,Character,1,Common,NA,URS-021,21,Bodyguard (This character may enter play exerted. An opposing character who challenges one of your characters must choose one with Bodyguard if able.),3,2024-08-29 16:27:12.0,3,URS,Lorcana,,NA,6,0,0,0,0,0,0,0,0,1,0,0,TRUE,0,2.4180987496861253,0.39752738867581994,0,FALSE,0.18437386163805483
Samanta Erdini,Ursula's Return,"Storyborn, Hero, Madrigal",2024-05-17T12:00,"Support, ",4,Amber,Encanto,https://lorcana-api.com/images/mirabel_madrigal/prophecy_finder/mirabel_madrigal-prophecy_finder-large.png,2,TRUE,Mirabel Madrigal - Prophecy Finder,Character,1,Common,"""Why would Bruno break this prophecy? Could it be something dangerous? We have to find out!""",URS-019,19,"Support (Whenever this character quests, you may add their {s} to another chosen character's {s} this turn.)",2,2024-08-29 16:27:12.0,2,URS,Lorcana,,NA,4,0,2,0,0,0,0,0,0,0,0,0,TRUE,0,1.463740757262313,0.47535789610222184,0,FALSE,0.060901346635465245
Matthew Robert Davies,Ursula's Return,"Storyborn, Hero, Princess",2024-05-17T12:00,"Singer7, ",4,Amber,The Little Mermaid,https://lorcana-api.com/images/ariel/singing_mermaid/ariel-singing_mermaid-large.png,4,TRUE,Ariel - Singing Mermaid,Character,2,Rare,"""Watch and you'll see-some day I'll be part of your world!""",URS-003,3,Singer 7 (This character counts as cost 7 to sing songs.),3,2024-08-29 16:27:12.0,3,URS,Lorcana,,NA,6,0,0,0,0,0,0,0,0,0,3,0,TRUE,0,3.0401667636317886,0.6552182378903741,0,FALSE,0.30461499847783724
Marcel Berg,The First Chapter,"Dreamborn, Hero, Prince",2023-08-18T12:00,"Bodyguard, ",1,Steel,,https://lorcana-api.com/images/hercules/true_hero/hercules-true_hero-large.png,3,TRUE,Hercules - True Hero,Character,1,Common,"""You gotta admit, that was pretty heroic.""",TFC-181,181,Bodyguard (This character may enter play exerted. An opposing character who challenges one of your characters must choose one with Bodyguard if able.),3,2024-08-29 16:27:12.0,3,TFC,Lorcana,,NA,6,0,0,0,0,0,0,0,0,1,0,0,TRUE,0,2.4180987496861253,0.39752738867581994,0,FALSE,0.18437386163805483
Marcell Berg,The First Chapter,"Dreamborn, Villain, Pirate, Captain",2023-08-18T12:00,"Challenger 2, ",1,Steel,,https://lorcana-api.com/images/captain_hook/forceful_duelist/captain_hook-forceful_duelist-large.png,1,TRUE,Captain Hook - Forceful Duelist,Character,1,Common,He loves to make light of a foe's predicament,TFC-174,174,"Challenger +2 (When challenging, this character gets +2 {s}.) ",2,2024-08-29 16:27:12.0,1,TFC,Lorcana,,NA,3,0,0,0,0,2,0,0,0,0,0,0,TRUE,0,0.9865617610504065,0.630816061095652,0,FALSE,-0.6173778221460585
Leonardo Giammichele,The First Chapter,"Storyborn, Mentor",2023-08-18T12:00,"Support, ",1,Sapphire,,https://lorcana-api.com/images/philoctetes/trainer_of_heroes/philoctetes-trainer_of_heroes-large.png,2,TRUE,Philoctetes - Trainer of Heroes,Character,1,Common,"""Ya gotta be the best to train the best. And I train the best!""",TFC-156,156,"Support (Whenever this character quests, you may add their {s} to another chosen character's {s} this turn.)",1,2024-08-29 16:27:12.0,3,TFC,Lorcana,,NA,4,0,3,0,0,0,0,0,0,0,0,0,TRUE,0,1.463740757262313,0.7130368441533327,0,FALSE,-0.17677760141564555
Dave Beauchene,The First Chapter,"Dreamborn, Mentor, Sorcerer",2023-08-18T12:00,"Support, ",1,Sapphire,,https://lorcana-api.com/images/merlin/self-appointed_mentor/merlin-self-appointed_mentor-large.png,4,TRUE,Merlin - Self-Appointed Mentor,Character,1,Common,"""What a mess! What a medieval muddle! We'll have to modernize it.""",TFC-153,153,"Support (Whenever this character quests, you may add their {s} to another chosen character's {s} this turn.)",4,2024-08-29 16:27:12.0,3,TFC,Lorcana,,NA,7,0,3,0,0,0,0,0,0,0,0,0,TRUE,0,2.8952777458980323,0.7130368441533327,0,FALSE,0.391685409948635
Cam Kendell,The First Chapter,"Dreamborn, Hero, Inventor",2023-08-18T12:00,"Ward, ",1,Sapphire,,https://lorcana-api.com/images/donald_duck/strutting_his_stuff/donald_duck-strutting_his_stuff-large.png,5,TRUE,Donald Duck - Strutting His Stuff,Character,2,Common,"Walk smarter, not harder.",TFC-144,144,Ward (Opponents can't choose this character except to challenge.) ,3,2024-08-29 16:27:12.0,4,TFC,Lorcana,,NA,7,0,0,0,0,0,0,1,0,0,0,0,TRUE,0,3.5173457598436952,0.7160993312519719,0,FALSE,0.7665549089043329
Pirel,The First Chapter,"Storyborn, Mentor, King",2023-08-18T12:00,"Support, ",1,Sapphire,,https://lorcana-api.com/images/chief_tui/respected_leader/chief_tui-respected_leader-large.png,7,TRUE,Chief Tui - Respected Leader,Character,3,Uncommon,"""You can always rely on the strength of those who love you.""",TFC-143,143,"Support (Whenever this character quests, you may add their {s} to another chosen character‘s {s} this turn.) ",6,2024-08-29 16:27:12.0,3,TFC,Lorcana,,NA,9,0,3,0,0,0,0,0,0,0,0,0,TRUE,0,5.093771766213171,0.7130368441533326,0,FALSE,1.193191389633496
Kenneth Anderson,The First Chapter,"Storyborn, Tigger",2023-08-18T12:00,"Evasive, ",1,Ruby,,https://lorcana-api.com/images/tigger/wonderful_thing/tigger-wonderful_thing-large.png,6,TRUE,Tigger - Wonderful Thing,Character,2,Uncommon,"""I'm the bounciest bouncer that ever bounced!""",TFC-127,127,Evasive (Only characters with Evasive can challenge this character.) ,4,2024-08-29 16:27:12.0,4,TFC,Lorcana,,NA,8,0,0,0,1,0,0,0,0,0,0,0,TRUE,0,3.9945247560556014,1.104039930622216,0,FALSE,0.9014353133221826
Kamil Murzyn,The First Chapter,"Storyborn, Villain, Deity",2023-08-18T12:00,"Reckless, ",1,Ruby,,https://lorcana-api.com/images/te_ka/the_burning_one/te_ka-the_burning_one-large.png,6,FALSE,Te Ka - The Burning One,Character,0,Super Rare,She burns for that which was stolen from her.,TFC-126,126,Reckless (This character can't quest and must challenge each turn if able.) ,6,2024-08-29 16:27:12.0,8,TFC,Lorcana,,NA,14,0,0,0,0,0,0,0,0,0,0,1,TRUE,0,5.613462705435714,0.2297701518310222,0,FALSE,0.15676714273326423
Brian Weisz,The First Chapter,"Storyborn, Hero",2023-08-18T12:00,"Evasive, ",1,Ruby,,https://lorcana-api.com/images/pongo/ol'_rascal/pongo-ol'_rascal-large.png,4,TRUE,Pongo - Ol' Rascal,Character,2,Common,"""At first I had no particular plan, just anything to attract attention. You know, stir things up a bit.""",TFC-120,120,Evasive (Only characters with Evasive can challenge this character.) ,3,2024-08-29 16:27:12.0,2,TFC,Lorcana,,NA,5,0,0,0,1,0,0,0,0,0,0,0,TRUE,0,2.5629877674198824,1.104039930622216,0,FALSE,0.3329723019579017
Anh Dang,The First Chapter,"Storyborn, Hero",2023-08-18T12:00,"Rush, ",1,Ruby,,https://lorcana-api.com/images/peter_pan/fearless_fighter/peter_pan-fearless_fighter-large.png,3,FALSE,Peter Pan - Fearless Fighter,Character,1,Common,"""Nobody calls Pan a coward and lives! I'll fight you man-to-man, with one hand behind my back.""",TFC-119,119,Rush (This character can challenge the turn they're played.) ,2,2024-08-29 16:27:12.0,3,TFC,Lorcana,,NA,5,0,0,0,0,0,1,0,0,0,0,0,TRUE,0,1.9409197534742193,0.8407749819128572,0,FALSE,0.2183052646129236
Nicolas Kole,The First Chapter,"Dreamborn, Hero",2023-08-18T12:00,"Evasive, ",1,Ruby,,https://lorcana-api.com/images/mickey_mouse/brave_little_tailor/mickey_mouse-brave_little_tailor-large.png,8,TRUE,Mickey Mouse - Brave Little Tailor,Character,4,Legendary,"When defeat looms and victory hangs by a thread, a hero bolts to the rescue, patching things up through shear determination.",TFC-115,115,Evasive (Only characters with Evasive can challenge this character.),5,2024-08-29 16:27:12.0,5,TFC,Lorcana,,NA,10,0,0,0,1,0,0,0,0,0,0,0,TRUE,0,6.1930187763707405,1.104039930622216,0,FALSE,0.7029412930070437
Pixel / Marco Giogianni,The First Chapter,"Storyborn, Hero, Deity",2023-08-18T12:00,"Rush, Reckless, ",1,Ruby,,https://lorcana-api.com/images/maui/hero_to_all/maui-hero_to_all-large.png,5,TRUE,Maui - Hero to All,Character,0,Rare,"""What I believe you were trying to say is 'Thank you.'""",TFC-114,114,"Rush (This character can challenge the turn they're played.) 

Reckless (This character can't quest and must challenge each turn if able.) ",5,2024-08-29 16:27:12.0,6,TFC,Lorcana,,NA,11,0,0,0,0,0,1,0,0,0,0,1,TRUE,0,4.181925716799994,1.0705451337438794,0,TRUE,-0.2524708505438735
Kenneth Anderson,The First Chapter,"Dreamborn, Hero",2023-08-18T12:00,"Evasive, ",1,Ruby,,https://lorcana-api.com/images/goofy/daredevil/goofy-daredevil-large.png,5,TRUE,Goofy - Daredevil,Character,2,Common,Sometimes you gotta give it the ol' jump and hyuck.,TFC-111,111,Evasive (Only characters with Evasive can challenge this character.),4,2024-08-29 16:27:12.0,3,TFC,Lorcana,,NA,7,0,0,0,1,0,0,0,0,0,0,0,TRUE,0,3.5173457598436952,1.104039930622216,0,FALSE,0.3786143095340889
Matthew Robert Davies,The First Chapter,"Storyborn, Villain",2023-08-18T12:00,"Reckless, ",1,Ruby,,https://lorcana-api.com/images/gaston/arrogant_hunter/gaston-arrogant_hunter-large.png,2,TRUE,Gaston - Arrogant Hunter,Character,0,Common,It's not arrogance when you really are the best.,TFC-110,110,Reckless (This character can't quest and must challenge each turn if able.) ,2,2024-08-29 16:27:12.0,4,TFC,Lorcana,,NA,6,0,0,0,0,0,0,0,0,0,0,1,TRUE,0,1.7960307357404623,0.22977015183102223,0,FALSE,-0.02580088757148457
Koni,The First Chapter,"Dreamborn, Hero",2023-08-18T12:00,"Evasive, ",1,Emerald,,https://lorcana-api.com/images/peter_pan/never_landing/peter_pan-never_landing-large.png,3,TRUE,Peter Pan - Never Landing,Character,1,Common,"""What's the matter, Hook? Can't you fly?""",TFC-091,91,Evasive (Only characters with Evasive can challenge this character.) ,2,2024-08-29 16:27:12.0,3,TFC,Lorcana,,NA,5,0,0,0,1,0,0,0,0,0,0,0,TRUE,0,1.9409197534742193,1.1040399306222157,0,FALSE,-0.04495968409643513
Lauren Walsh,The First Chapter,"Storyborn, Hero, Prince",2023-08-18T12:00,"Ward, ",1,Emerald,,https://lorcana-api.com/images/aladdin/prince_ali/aladdin-prince_ali-large.png,2,TRUE,Aladdin - Prince Ali,Character,1,Common,Fabulously wealthy. Practically untouchable. Genuinely inauthentic.,TFC-069,69,Ward (Opponents can't choose this character except to challenge.) ,2,2024-08-29 16:27:12.0,2,TFC,Lorcana,,NA,4,0,0,0,0,0,0,1,0,0,0,0,TRUE,0,1.463740757262313,0.7160993312519719,0,FALSE,-0.17984008851428482
Giulia Riva,The First Chapter,"Dreamborn, Mentor, Sorcerer",2023-08-18T12:00,"Rush, ",1,Amethyst,,https://lorcana-api.com/images/rafiki/mysterious_sage/rafiki-mysterious_sage-large.png,3,FALSE,Rafiki - Mysterious Sage,Character,1,Uncommon,"""The past can hurt. But the way I see it, you can either run from it or learn from it.""",TFC-054,54,Rush (This character can challenge the turn they're played.) ,3,2024-08-29 16:27:12.0,3,TFC,Lorcana,,NA,6,0,0,0,0,0,1,0,0,0,0,0,TRUE,0,2.4180987496861253,0.8407749819128572,0,FALSE,-0.2588737315989824
Filipe Laurentino,The First Chapter,"Storyborn, Hero, Prince",2023-08-18T12:00,"Bodyguard, ",1,Amber,,https://lorcana-api.com/images/simba/protective_cub/simba-protective_cub-large.png,2,TRUE,Simba - Protective Cub,Character,1,Common,Courage comes in all sizes.,TFC-020,20,Bodyguard (This character may enter play exerted. An opposing character who challenges one of your characters must choose one with Bodyguard if able.),3,2024-08-29 16:27:12.0,2,TFC,Lorcana,,NA,5,0,0,0,0,0,0,0,0,1,0,0,TRUE,0,1.9409197534742193,0.39752738867582,0,FALSE,-0.3384471421500393
Isaiah Mesq,The First Chapter,"Storyborn, Ally",2023-08-18T12:00,"Singer4, ",1,Amber,,https://lorcana-api.com/images/sebastion/court_composer/sebastion-court_composer-large.png,2,TRUE,Sebastian - Court Composer,Character,1,Common,"""I should be writing symphonies, not tagging along after some headstrong teenager.""",TFC-019,19,Singer 4 (This character counts as cost 4 to sing songs.),2,2024-08-29 16:27:12.0,2,TFC,Lorcana,,NA,4,0,0,0,0,0,0,0,0,0,2,0,TRUE,0,1.463740757262313,0.43681215859358274,0,FALSE,0.09944708414410436
